Picked up JAVA_TOOL_OPTIONS: -Xmx2g
Opening log file:  /tmp/java.log.57051

                            < M A T L A B (R) >
                  Copyright 1984-2022 The MathWorks, Inc.
             R2022b Update 2 (9.13.0.2105380) 64-bit (glnxa64)
                              October 26, 2022

 
To get started, type doc.
For product information, visit www.mathworks.com.
 
Starting parallel pool (parpool) using the 'local' profile ...
Connected to the parallel pool (number of workers: 32).
Loaded 446 seeds from grids/seeds/individual/y2023.mat
	scoring all of them using MC
	MCS total time 14.0 m + evolution total time 2.0 d = 2.0 d
	MCS runs 446 (1.0 m each) --> evolution runs 352 (4.0 h each)

seed     2 | Wombat(0,1.0 m,0.64) x  213 | MC estimate  65
seed     3 | Wombat(0,1.0 m,0.64) x  221 | MC estimate  65
seed     6 | Wombat(0,1.0 m,0.64) x  213 | MC estimate  65
seed     7 | Wombat(0,1.0 m,0.64) x  234 | MC estimate  65
seed     8 | Wombat(0,1.0 m,0.64) x  225 | MC estimate  65
seed    10 | Wombat(0,1.0 m,0.64) x  221 | MC estimate  65
seed    11 | Wombat(0,1.0 m,0.64) x  220 | MC estimate  65
seed    12 | Wombat(0,1.0 m,0.64) x  224 | MC estimate  65
seed    14 | Wombat(0,1.0 m,0.64) x  231 | MC estimate  65
seed    15 | Wombat(0,1.0 m,0.64) x  222 | MC estimate  65
seed    18 | Wombat(0,1.0 m,0.64) x  213 | MC estimate  65
seed    19 | Wombat(0,1.0 m,0.64) x  207 | MC estimate  65
seed    20 | Wombat(0,1.0 m,0.64) x  236 | MC estimate  65
seed    22 | Wombat(0,1.0 m,0.64) x  223 | MC estimate  65
seed    23 | Wombat(0,1.0 m,0.64) x  221 | MC estimate  65
seed    24 | Wombat(0,1.0 m,0.64) x  228 | MC estimate  65
seed    31 | Wombat(0,1.0 m,0.64) x  235 | MC estimate  66
seed    32 | Wombat(0,1.0 m,0.64) x  232 | MC estimate  66
seed    29 | Wombat(0,1.0 m,0.64) x    1 | MC estimate 104
seed    30 | Wombat(0,1.0 m,0.64) x    3 | MC estimate 129
seed    27 | Wombat(0,1.0 m,0.64) x    1 | MC estimate 112
seed     1 | Wombat(0,1.0 m,0.64) x    4 | MC estimate 107
seed    17 | Wombat(0,1.0 m,0.64) x    7 | MC estimate  91
seed    25 | Wombat(0,1.0 m,0.64) x   10 | MC estimate 117
seed    26 | Wombat(0,1.0 m,0.64) x   12 | MC estimate 103
seed    28 | Wombat(0,1.0 m,0.64) x    5 | MC estimate 134
seed     9 | Wombat(0,1.0 m,0.64) x   33 | MC estimate  98
seed     5 | Wombat(0,1.0 m,0.64) x   33 | MC estimate  96
seed    21 | Wombat(0,1.0 m,0.64) x   29 | MC estimate  99
seed     4 | Wombat(0,1.0 m,0.64) x   68 | MC estimate 104
seed    13 | Wombat(0,1.0 m,0.64) x   99 | MC estimate 101
seed    16 | Wombat(0,1.0 m,0.64) x  132 | MC estimate  94
seed    44 | Wombat(0,1.0 m,0.64) x  243 | MC estimate  66
seed    68 | Wombat(0,1.0 m,0.64) x  232 | MC estimate  66
seed    80 | Wombat(0,1.0 m,0.64) x  239 | MC estimate  66
seed    92 | Wombat(0,1.0 m,0.64) x  241 | MC estimate  66
seed   116 | Wombat(0,1.0 m,0.64) x    5 | MC estimate 117
seed   170 | Wombat(0,1.0 m,0.64) x  155 | MC estimate  97
seed   140 | Wombat(0,1.0 m,0.64) x    4 | MC estimate 122
seed   218 | Wombat(0,1.0 m,0.64) x    3 | MC estimate 133
seed   212 | Wombat(0,1.0 m,0.64) x  250 | MC estimate  69
