Picked up JAVA_TOOL_OPTIONS: -Xmx2g
Opening log file:  /tmp/java.log.33664

                            < M A T L A B (R) >
                  Copyright 1984-2022 The MathWorks, Inc.
             R2022b Update 2 (9.13.0.2105380) 64-bit (glnxa64)
                              October 26, 2022

 
To get started, type doc.
For product information, visit www.mathworks.com.
 
Starting parallel pool (parpool) using the 'local' profile ...
Connected to the parallel pool (number of workers: 32).
Loaded 932 seeds from grids/seeds/individual/y2013.mat
	scoring all of them using MC
	MCS total time 30.0 m + evolution total time 2.0 d = 2.0 d
	MCS runs 932 (1.0 m each) --> evolution runs 352 (4.0 h each)

seed     8 | Wombat(0,1.0 m,0.64) x  207 | MC estimate 106
seed    22 | Wombat(0,1.0 m,0.64) x  263 | MC estimate  71
seed    26 | Wombat(0,1.0 m,0.64) x  260 | MC estimate  71
seed    54 | Wombat(0,1.0 m,0.64) x  258 | MC estimate  71
seed    56 | Wombat(0,1.0 m,0.64) x  243 | MC estimate  71
seed    58 | Wombat(0,1.0 m,0.64) x  166 | MC estimate 141
seed     2 | Wombat(0,1.0 m,0.64) x    1 | MC estimate 115
seed    10 | Wombat(0,1.0 m,0.64) x    1 | MC estimate 114
seed    30 | Wombat(0,1.0 m,0.64) x    1 | MC estimate 113
seed     4 | Wombat(0,1.0 m,0.64) x    3 | MC estimate  90
seed    36 | Wombat(0,1.0 m,0.64) x    2 | MC estimate 139
seed    34 | Wombat(0,1.0 m,0.64) x    5 | MC estimate 132
seed    12 | Wombat(0,1.0 m,0.64) x    9 | MC estimate 107
seed    44 | Wombat(0,1.0 m,0.64) x   16 | MC estimate 107
seed    46 | Wombat(0,1.0 m,0.64) x   36 | MC estimate 126
seed    14 | Wombat(0,1.0 m,0.64) x    9 | MC estimate 125
seed    50 | Wombat(0,1.0 m,0.64) x   37 | MC estimate 119
seed    28 | Wombat(0,1.0 m,0.64) x   52 | MC estimate 110
seed    40 | Wombat(0,1.0 m,0.64) x   49 | MC estimate 137
seed     6 | Wombat(0,1.0 m,0.64) x   47 | MC estimate 118
seed    64 | Wombat(0,1.0 m,0.64) x   48 | MC estimate 123
seed    52 | Wombat(0,1.0 m,0.64) x  132 | MC estimate 119
seed    18 | Wombat(0,1.0 m,0.64) x   72 | MC estimate 104
seed    32 | Wombat(0,1.0 m,0.64) x   58 | MC estimate 134
seed    62 | Wombat(0,1.0 m,0.64) x   66 | MC estimate 132
seed    38 | Wombat(0,1.0 m,0.64) x    2 | MC estimate 130
seed    20 | Wombat(0,1.0 m,0.64) x   78 | MC estimate 134
seed    42 | Wombat(0,1.0 m,0.64) x  105 | MC estimate 129
seed    60 | Wombat(0,1.0 m,0.64) x   38 | MC estimate 141
seed    48 | Wombat(0,1.0 m,0.64) x  135 | MC estimate 117
seed    16 | Wombat(0,1.0 m,0.64) x  123 | MC estimate 114
seed    24 | Wombat(0,1.0 m,0.64) x   90 | MC estimate 121
seed    55 | Wombat(0,1.0 m,0.64) x  301 | MC estimate  71
seed     7 | Wombat(0,1.0 m,0.64) x  277 | MC estimate  70
seed    21 | Wombat(0,1.0 m,0.64) x  288 | MC estimate  71
seed    53 | Wombat(0,1.0 m,0.64) x  205 | MC estimate 129
seed     3 | Wombat(0,1.0 m,0.64) x    4 | MC estimate 111
seed    35 | Wombat(0,1.0 m,0.64) x    2 | MC estimate 133
seed    29 | Wombat(0,1.0 m,0.64) x   24 | MC estimate 120
seed    43 | Wombat(0,1.0 m,0.64) x    3 | MC estimate 124
seed    11 | Wombat(0,1.0 m,0.64) x   18 | MC estimate  98
seed     1 | Wombat(0,1.0 m,0.64) x   10 | MC estimate 114
seed    13 | Wombat(0,1.0 m,0.64) x    2 | MC estimate 133
seed     9 | Wombat(0,1.0 m,0.64) x    7 | MC estimate 137
seed    39 | Wombat(0,1.0 m,0.64) x    5 | MC estimate 142
seed    57 | Wombat(0,1.0 m,0.64) x   90 | MC estimate 142
seed    61 | Wombat(0,1.0 m,0.64) x   40 | MC estimate 130
seed    63 | Wombat(0,1.0 m,0.64) x   24 | MC estimate 152
seed    45 | Wombat(0,1.0 m,0.64) x   57 | MC estimate 128
seed    17 | Wombat(0,1.0 m,0.64) x   73 | MC estimate 106
seed    19 | Wombat(0,1.0 m,0.64) x    8 | MC estimate 149
seed    47 | Wombat(0,1.0 m,0.64) x    2 | MC estimate 112
seed    31 | Wombat(0,1.0 m,0.64) x   16 | MC estimate 117
seed    15 | Wombat(0,1.0 m,0.64) x  276 | MC estimate  70
seed    23 | Wombat(0,1.0 m,0.64) x  268 | MC estimate  71
seed    33 | Wombat(0,1.0 m,0.64) x   24 | MC estimate 144
seed    25 | Wombat(0,1.0 m,0.64) x  174 | MC estimate 118
seed    49 | Wombat(0,1.0 m,0.64) x  170 | MC estimate 120
seed    51 | Wombat(0,1.0 m,0.64) x  186 | MC estimate 124
seed    27 | Wombat(0,1.0 m,0.64) x  214 | MC estimate 100
seed   218 | Wombat(0,1.0 m,0.64) x  278 | MC estimate 108
seed   456 | Wombat(0,1.0 m,0.64) x  259 | MC estimate 132
seed     5 | Wombat(0,1.0 m,0.64) x  224 | MC estimate 128
seed   120 | Wombat(0,1.0 m,0.64) x    7 | MC estimate 129
seed    92 | Wombat(0,1.0 m,0.64) x  209 | MC estimate 133
seed   316 | Wombat(0,1.0 m,0.64) x  201 | MC estimate  73
seed   372 | Wombat(0,1.0 m,0.64) x  111 | MC estimate 144
seed    37 | Wombat(0,1.0 m,0.64) x   10 | MC estimate 136
seed   162 | Wombat(0,1.0 m,0.64) x  159 | MC estimate 135
seed    41 | Wombat(0,1.0 m,0.64) x   85 | MC estimate 133
seed    78 | Wombat(0,1.0 m,0.64) x   50 | MC estimate 136
seed   134 | Wombat(0,1.0 m,0.64) x   27 | MC estimate 122
seed    59 | Wombat(0,1.0 m,0.64) x  194 | MC estimate 118
seed   344 | Wombat(0,1.0 m,0.64) x    6 | MC estimate 120
seed   470 | Wombat(0,1.0 m,0.64) x  172 | MC estimate 130
seed   498 | Wombat(0,1.0 m,0.64) x  210 | MC estimate  74
seed   512 | Wombat(0,1.0 m,0.64) x  105 | MC estimate 135
seed   148 | Wombat(0,1.0 m,0.64) x   79 | MC estimate 111
seed   190 | Wombat(0,1.0 m,0.64) x  284 | MC estimate  72
seed   442 | Wombat(0,1.0 m,0.64) x  115 | MC estimate 125
seed   400 | Wombat(0,1.0 m,0.64) x  292 | MC estimate  74
seed   288 | Wombat(0,1.0 m,0.64) x  196 | MC estimate 140
seed   274 | Wombat(0,1.0 m,0.64) x  107 | MC estimate 124
seed   386 | Wombat(0,1.0 m,0.64) x   50 | MC estimate 136
seed   204 | Wombat(0,1.0 m,0.64) x   41 | MC estimate 112
seed   176 | Wombat(0,1.0 m,0.64) x    3 | MC estimate 122
seed   302 | Wombat(0,1.0 m,0.64) x   18 | MC estimate 125
seed   414 | Wombat(0,1.0 m,0.64) x  166 | MC estimate 138
seed   232 | Wombat(0,1.0 m,0.64) x   62 | MC estimate 134
seed   428 | Wombat(0,1.0 m,0.64) x  249 | MC estimate  74
seed   106 | Wombat(0,1.0 m,0.64) x  130 | MC estimate 116
seed   260 | Wombat(0,1.0 m,0.64) x   50 | MC estimate 125
seed   330 | Wombat(0,1.0 m,0.64) x    8 | MC estimate 116
seed   217 | Wombat(0,1.0 m,0.64) x   64 | MC estimate 120
seed   455 | Wombat(0,1.0 m,0.64) x  139 | MC estimate 138
seed   484 | Wombat(0,1.0 m,0.64) x  230 | MC estimate  74
