Picked up JAVA_TOOL_OPTIONS: -Xmx2g
Opening log file:  /tmp/java.log.53754

                            < M A T L A B (R) >
                  Copyright 1984-2022 The MathWorks, Inc.
             R2022b Update 2 (9.13.0.2105380) 64-bit (glnxa64)
                              October 26, 2022

 
To get started, type doc.
For product information, visit www.mathworks.com.
 
Starting parallel pool (parpool) using the 'local' profile ...
Preserving jobs with IDs: 303 317 318 323 324 336 339 340 341 343 344 because they contain crash dump files.
You can use 'delete(myCluster.Jobs)' to remove all jobs created with profile Processes. To create 'myCluster' use 'myCluster = parcluster('Processes')'.
Connected to the parallel pool (number of workers: 32).
Loaded 1 seeds from grids/seeds/individual/blankSeed.mat
	we have a single blank seed, no need to run it through MC

	MCS total time 0.0 s + evolution total time 12.0 h = 12.0 h
	MCS runs 0 (1.0 m each) --> evolution runs 96 (4.0 h each)

seed  1 | gen    0 (0 grids scored in 0.6 s) | maps{1} | new champion: max wsl 13, nw -1, score 0
seed  2 | gen    0 (0 grids scored in 0.6 s) | maps{1} | new champion: max wsl 13, nw -1, score 0
seed  3 | gen    0 (0 grids scored in 0.6 s) | maps{1} | new champion: max wsl 13, nw -1, score 0
seed  5 | gen    0 (0 grids scored in 0.6 s) | maps{1} | new champion: max wsl 13, nw -1, score 0
seed  6 | gen    0 (0 grids scored in 0.6 s) | maps{1} | new champion: max wsl 13, nw -1, score 0
seed  7 | gen    0 (0 grids scored in 0.6 s) | maps{1} | new champion: max wsl 13, nw -1, score 0
seed  8 | gen    0 (0 grids scored in 0.5 s) | maps{1} | new champion: max wsl 13, nw -1, score 0
seed  9 | gen    0 (0 grids scored in 0.5 s) | maps{1} | new champion: max wsl 13, nw -1, score 0
seed 10 | gen    0 (0 grids scored in 0.5 s) | maps{1} | new champion: max wsl 13, nw -1, score 0
seed 11 | gen    0 (0 grids scored in 0.6 s) | maps{1} | new champion: max wsl 13, nw -1, score 0
seed 12 | gen    0 (0 grids scored in 0.6 s) | maps{1} | new champion: max wsl 13, nw -1, score 0
seed 13 | gen    0 (0 grids scored in 0.6 s) | maps{1} | new champion: max wsl 13, nw -1, score 0
seed 14 | gen    0 (0 grids scored in 0.6 s) | maps{1} | new champion: max wsl 13, nw -1, score 0
seed 15 | gen    0 (0 grids scored in 0.6 s) | maps{1} | new champion: max wsl 13, nw -1, score 0
seed 16 | gen    0 (0 grids scored in 0.5 s) | maps{1} | new champion: max wsl 13, nw -1, score 0
seed 17 | gen    0 (0 grids scored in 0.6 s) | maps{1} | new champion: max wsl 13, nw -1, score 0
seed 18 | gen    0 (0 grids scored in 0.6 s) | maps{1} | new champion: max wsl 13, nw -1, score 0
seed 19 | gen    0 (0 grids scored in 0.6 s) | maps{1} | new champion: max wsl 13, nw -1, score 0
seed 20 | gen    0 (0 grids scored in 0.6 s) | maps{1} | new champion: max wsl 13, nw -1, score 0
seed 21 | gen    0 (0 grids scored in 0.6 s) | maps{1} | new champion: max wsl 13, nw -1, score 0
seed 22 | gen    0 (0 grids scored in 0.6 s) | maps{1} | new champion: max wsl 13, nw -1, score 0
seed 23 | gen    0 (0 grids scored in 0.6 s) | maps{1} | new champion: max wsl 13, nw -1, score 0
seed 24 | gen    0 (0 grids scored in 0.6 s) | maps{1} | new champion: max wsl 13, nw -1, score 0
seed 25 | gen    0 (0 grids scored in 0.5 s) | maps{1} | new champion: max wsl 13, nw -1, score 0
seed 26 | gen    0 (0 grids scored in 0.6 s) | maps{1} | new champion: max wsl 13, nw -1, score 0
seed 27 | gen    0 (0 grids scored in 0.6 s) | maps{1} | new champion: max wsl 13, nw -1, score 0
seed 28 | gen    0 (0 grids scored in 0.6 s) | maps{1} | new champion: max wsl 13, nw -1, score 0
seed 29 | gen    0 (0 grids scored in 0.5 s) | maps{1} | new champion: max wsl 13, nw -1, score 0
seed 30 | gen    0 (0 grids scored in 0.6 s) | maps{1} | new champion: max wsl 13, nw -1, score 0
seed 31 | gen    0 (0 grids scored in 0.6 s) | maps{1} | new champion: max wsl 13, nw -1, score 0
seed 32 | gen    0 (0 grids scored in 0.5 s) | maps{1} | new champion: max wsl 13, nw -1, score 0
seed  4 | gen    0 (0 grids scored in 0.7 s) | maps{1} | new champion: max wsl 13, nw -1, score 0
seed 30 | gen    9 (1 grids scored in 1.8 m) | maps{1} | new champion: max wsl 13, nw 17, score 79
seed 12 | gen   21 (1 grids scored in 3.3 m) | maps{1} | new champion: max wsl 11, nw 17, score 71
seed  1 | gen   23 (1 grids scored in 3.3 m) | maps{1} | new champion: max wsl 13, nw 20, score 50
seed 25 | gen   25 (1 grids scored in 3.3 m) | maps{1} | new champion: max wsl 13, nw 19, score 76
seed 18 | gen   24 (1 grids scored in 3.3 m) | maps{1} | new champion: max wsl 13, nw 17, score 52
seed 23 | gen   27 (1 grids scored in 3.4 m) | maps{1} | new champion: max wsl 10, nw 11, score 82
seed  8 | gen   32 (1 grids scored in 3.4 m) | maps{1} | new champion: max wsl 9, nw 15, score 56
seed 11 | gen   44 (1 grids scored in 3.6 m) | maps{1} | new champion: max wsl 12, nw 16, score 65
seed 20 | gen   44 (1 grids scored in 3.6 m) | maps{1} | new champion: max wsl 13, nw 17, score 75
