Loaded 1 seeds from grids/seeds/individual/blankSeed.mat
	we have a single blank seed, no need to run it through MC

	MCS total time 0.0 s + evolution total time 12.0 h = 12.0 h
	MCS runs 0 (1.0 m each) --> evolution runs 48 (4.0 h each)

seed  5 | gen    0 (0 grids scored in 0.0 s) | maps{1} | new champion: max wsl 13, nw -1, score 0
seed  2 | gen    0 (0 grids scored in 0.0 s) | maps{1} | new champion: max wsl 13, nw -1, score 0
seed  3 | gen    0 (0 grids scored in 0.0 s) | maps{1} | new champion: max wsl 13, nw -1, score 0
seed 10 | gen    0 (0 grids scored in 0.0 s) | maps{1} | new champion: max wsl 13, nw -1, score 0
seed 13 | gen    0 (0 grids scored in 0.0 s) | maps{1} | new champion: max wsl 13, nw -1, score 0
seed 11 | gen    0 (0 grids scored in 0.0 s) | maps{1} | new champion: max wsl 13, nw -1, score 0
seed 12 | gen    0 (0 grids scored in 0.0 s) | maps{1} | new champion: max wsl 13, nw -1, score 0
seed  9 | gen    0 (0 grids scored in 0.0 s) | maps{1} | new champion: max wsl 13, nw -1, score 0
seed 15 | gen    0 (0 grids scored in 0.0 s) | maps{1} | new champion: max wsl 13, nw -1, score 0
seed  8 | gen    0 (0 grids scored in 0.0 s) | maps{1} | new champion: max wsl 13, nw -1, score 0
seed 16 | gen    0 (0 grids scored in 0.0 s) | maps{1} | new champion: max wsl 13, nw -1, score 0
seed  1 | gen    0 (0 grids scored in 0.0 s) | maps{1} | new champion: max wsl 13, nw -1, score 0
seed 14 | gen    0 (0 grids scored in 0.0 s) | maps{1} | new champion: max wsl 13, nw -1, score 0
seed  6 | gen    0 (0 grids scored in 0.0 s) | maps{1} | new champion: max wsl 13, nw -1, score 0
seed 11 | gen   65 (1 grids scored in 3.3 m) | maps{1} | new champion: max wsl 10, nw 11, score 50
seed  4 | gen    0 (0 grids scored in 0.0 s) | maps{1} | new champion: max wsl 13, nw -1, score 0
seed  9 | gen   89 (1 grids scored in 3.5 m) | maps{1} | new champion: max wsl 13, nw 15, score 41
seed  7 | gen    0 (0 grids scored in 0.0 s) | maps{1} | new champion: max wsl 13, nw -1, score 0
seed 12 | gen   81 (1 grids scored in 3.4 m) | maps{1} | new champion: max wsl 13, nw 12, score 62
seed 16 | gen  280 (1 grids scored in 4.5 m) | maps{1} | new champion: max wsl 13, nw 17, score 45
seed  2 | gen   47 (1 grids scored in 3.2 m) | maps{1} | new champion: max wsl 11, nw 18, score 72
seed 15 | gen  214 (1 grids scored in 4.1 m) | maps{1} | new champion: max wsl 11, nw 16, score 42
seed  3 | gen   49 (1 grids scored in 3.3 m) | maps{1} | new champion: max wsl 13, nw 17, score 74
seed  5 | gen   33 (1 grids scored in 3.2 m) | maps{1} | new champion: max wsl 13, nw 13, score 41
seed 13 | gen   52 (1 grids scored in 3.3 m) | maps{1} | new champion: max wsl 13, nw 19, score 60
seed  8 | gen  247 (1 grids scored in 4.2 m) | maps{1} | new champion: max wsl 12, nw 17, score 55
seed  1 | gen  316 (1 grids scored in 4.7 m) | maps{1} | new champion: max wsl 13, nw 17, score 68
seed  5 | gen   36 (25 grids scored in 8.6 m) | maps{1} | new champion: max wsl 13, nw 12, score 55
seed  4 | gen   74 (2 grids scored in 6.4 m) | maps{1} | new champion: max wsl 9, nw 12, score 55
seed  7 | gen  493 (1 grids scored in 6.7 m) | maps{1} | new champion: max wsl 13, nw 21, score 35
seed 12 | gen   83 (20 grids scored in 6.7 m) | maps{1} | new champion: max wsl 13, nw 13, score 69
seed  6 | gen  398 (1 grids scored in 5.5 m) | maps{1} | new champion: max wsl 12, nw 17, score 55
seed  3 | gen   51 (33 grids scored in 7.9 m) | maps{1} | new champion: max wsl 13, nw 18, score 88
seed  9 | gen   91 (20 grids scored in 6.6 m) | maps{1} | new champion: max wsl 13, nw 17, score 50
seed 16 | gen  282 (19 grids scored in 7.2 m) | maps{1} | new champion: max wsl 13, nw 17, score 59
seed 14 | gen  373 (1 grids scored in 5.0 m) | maps{1} | new champion: max wsl 9, nw 19, score 50
seed  7 | gen  496 (24 grids scored in 11.5 m) | maps{1} | new champion: max wsl 13, nw 22, score 42
seed  5 | gen   38 (43 grids scored in 11.2 m) | maps{1} | new champion: max wsl 13, nw 15, score 68
seed  6 | gen  401 (28 grids scored in 12.2 m) | maps{1} | new champion: max wsl 12, nw 18, score 77
seed  1 | gen  319 (25 grids scored in 10.3 m) | maps{1} | new champion: max wsl 13, nw 14, score 95
seed 16 | gen  285 (47 grids scored in 13.3 m) | maps{1} | new champion: max wsl 13, nw 15, score 64
seed 12 | gen   85 (51 grids scored in 11.6 m) | maps{1} | new champion: max wsl 11, nw 15, score 93
seed  8 | gen  249 (34 grids scored in 9.9 m) | maps{1} | new champion: max wsl 11, nw 16, score 69
seed 15 | gen  216 (23 grids scored in 7.8 m) | maps{1} | new champion: max wsl 11, nw 16, score 56
seed 11 | gen   67 (18 grids scored in 5.5 m) | maps{1} | new champion: max wsl 10, nw 10, score 62
seed 13 | gen   54 (33 grids scored in 8.6 m) | maps{1} | new champion: max wsl 13, nw 18, score 62
seed  9 | gen   93 (60 grids scored in 13.2 m) | maps{1} | new champion: max wsl 10, nw 18, score 53
seed  5 | gen   40 (76 grids scored in 16.0 m) | maps{1} | new champion: max wsl 13, nw 14, score 81
seed  7 | gen  498 (55 grids scored in 15.9 m) | maps{1} | new champion: max wsl 13, nw 21, score 47
seed 16 | gen  287 (93 grids scored in 20.3 m) | maps{1} | new champion: max wsl 13, nw 20, score 65
seed  3 | gen   53 (67 grids scored in 13.1 m) | maps{1} | new champion: max wsl 13, nw 18, score 95
seed  5 | gen   43 (115 grids scored in 25.3 m) | maps{1} | new champion: max wsl 13, nw 14, score 82
seed  1 | gen  323 (58 grids scored in 20.0 m) | maps{1} | new champion: max wsl 13, nw 14, score 98
seed 14 | gen  375 (48 grids scored in 14.0 m) | maps{1} | new champion: max wsl 13, nw 20, score 67
seed  4 | gen   76 (30 grids scored in 11.3 m) | maps{1} | new champion: max wsl 13, nw 13, score 81
seed  6 | gen  403 (65 grids scored in 17.6 m) | maps{1} | new champion: max wsl 12, nw 18, score 93
seed  7 | gen  501 (100 grids scored in 27.3 m) | maps{1} | new champion: max wsl 13, nw 21, score 57
seed  7 | gen  503 (133 grids scored in 31.9 m) | maps{1} | new champion: max wsl 13, nw 20, score 61
seed  9 | gen   95 (132 grids scored in 24.1 m) | maps{1} | new champion: max wsl 10, nw 19, score 67
seed  6 | gen  406 (123 grids scored in 31.3 m) | maps{1} | new champion: max wsl 12, nw 18, score 98
seed  3 | gen   56 (137 grids scored in 28.5 m) | maps{1} | new champion: max wsl 13, nw 17, score 98
seed 13 | gen   57 (101 grids scored in 23.7 m) | maps{1} | new champion: max wsl 13, nw 18, score 79
seed  4 | gen   79 (119 grids scored in 31.2 m) | maps{1} | new champion: max wsl 13, nw 14, score 87
seed  1 | gen  326 (97 grids scored in 30.2 m) | maps{1} | new champion: max wsl 13, nw 13, score 105
seed  5 | gen   45 (147 grids scored in 29.7 m) | maps{1} | new champion: max wsl 13, nw 15, score 96
seed 12 | gen   87 (110 grids scored in 20.6 m) | maps{1} | new champion: max wsl 13, nw 16, score 96
seed  7 | gen  505 (174 grids scored in 37.6 m) | maps{1} | new champion: max wsl 13, nw 21, score 63
seed  9 | gen   97 (231 grids scored in 38.1 m) | maps{1} | new champion: max wsl 13, nw 19, score 82
seed  3 | gen   58 (219 grids scored in 40.3 m) | maps{1} | new champion: max wsl 11, nw 16, score 104
seed 16 | gen  289 (154 grids scored in 27.7 m) | maps{1} | new champion: max wsl 13, nw 15, score 74
seed  1 | gen  329 (142 grids scored in 40.6 m) | maps{1} | new champion: max wsl 13, nw 13, score 109
seed 10 | gen   49 (1 grids scored in 3.3 m) | maps{1} | new champion: max wsl 13, nw 12, score 60
seed 15 | gen  219 (89 grids scored in 23.5 m) | maps{1} | new champion: max wsl 11, nw 16, score 69
seed 12 | gen   90 (207 grids scored in 42.3 m) | maps{1} | new champion: max wsl 11, nw 16, score 99
seed  3 | gen   60 (319 grids scored in 53.4 m) | maps{1} | new champion: max wsl 11, nw 16, score 109
seed  2 | gen   49 (26 grids scored in 7.5 m) | maps{1} | new champion: max wsl 13, nw 17, score 78
seed 15 | gen  223 (207 grids scored in 1.0 h) | maps{1} | new champion: max wsl 13, nw 21, score 73
seed 14 | gen  377 (162 grids scored in 30.4 m) | maps{1} | new champion: max wsl 10, nw 18, score 75
seed 13 | gen   60 (179 grids scored in 40.3 m) | maps{1} | new champion: max wsl 13, nw 18, score 85
seed  7 | gen  507 (213 grids scored in 43.3 m) | maps{1} | new champion: max wsl 13, nw 21, score 66
seed  9 | gen   99 (349 grids scored in 53.4 m) | maps{1} | new champion: max wsl 13, nw 18, score 85
seed  6 | gen  408 (184 grids scored in 40.0 m) | maps{1} | new champion: max wsl 13, nw 17, score 100
seed  5 | gen   48 (200 grids scored in 41.3 m) | maps{1} | new champion: max wsl 13, nw 15, score 114
seed 11 | gen   70 (87 grids scored in 23.7 m) | maps{1} | new champion: max wsl 13, nw 13, score 76
seed  4 | gen   81 (183 grids scored in 40.3 m) | maps{1} | new champion: max wsl 13, nw 15, score 89
seed 13 | gen   63 (304 grids scored in 1.2 h) | maps{1} | new champion: max wsl 13, nw 18, score 93
seed 16 | gen  292 (269 grids scored in 54.3 m) | maps{1} | new champion: max wsl 13, nw 17, score 81
